cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
CH,7,7,7,8,7,8,7,7,7,5
CH,8,7,7,10,8,7,6,9,6,8
CH,4,5,6,10,8,8,5,6,5,6
CH,7,7,6,8,9,9,7,9,7,9
CH,8,6,8,9,7,7,6,7,6,9
CH,7,4,6,10,6,8,1,5,5,5
CH,6,6,7,10,5,7,8,8,8,9
CH,2,5,3,10,9,9,7,8,6,7
CH,7,1,6,5,4,4,2,4,2,2
CH,8,6,8,8,9,7,6,7,6,8
CH,9,9,9,10,8,8,7,6,6,8
CH,3,6,6,10,6,6,5,7,5,7
CH,3,3,8,10,5,8,7,7,7,4
CH,5,7,6,10,9,8,8,9,7,9
CH,8,8,6,10,8,8,6,8,6,8
CH,7,8,6,10,7,6,7,7,6,8
CH,10,10,8,10,8,8,6,8,6,10
CH,8,7,9,8,6,4,7,8,7,7
CH,8,9,9,10,8,8,4,8,4,8
CH,3,5,5,10,9,9,8,9,7,9
CH,4,5,6,8,7,9,8,8,8,8
CH,3,3,0,10,3,4,5,5,4,4
CH,8,9,8,10,7,8,3,6,4,5
CH,7,4,5,10,7,8,5,6,6,7
CH,9,8,9,10,7,8,2,7,5,10
CH,7,7,8,7,7,8,7,8,7,8
CH,5,4,1,10,4,4,3,5,4,7
CH,6,10,9,10,10,9,7,8,7,10
CH,8,5,4,9,5,6,2,3,4,5
CH,6,4,3,10,7,6,5,3,5,9
CH,8,7,8,10,9,8,8,8,8,9
CH,6,3,5,10,3,3,6,6,6,9
CH,9,9,10,10,10,10,8,8,8,10
CH,7,6,5,8,7,8,5,5,4,6
CH,8,8,5,9,8,8,7,8,5,9
CH,7,5,7,10,5,5,8,7,7,9
CH,10,5,10,10,8,10,8,8,7,9
CH,7,6,8,10,7,5,7,8,7,9
CH,5,3,2,10,8,8,3,6,3,10
CH,6,6,6,10,9,10,8,9,7,9
CH,7,2,3,10,8,6,4,6,4,8
CH,6,7,3,10,9,8,7,8,8,7
CH,6,7,7,10,9,9,8,8,7,8
CH,7,7,8,10,6,6,5,6,5,7
CH,5,4,2,9,8,9,6,5,6,10
CH,5,5,8,10,5,8,7,5,7,7
CH,5,4,1,10,6,6,7,8,6,9
CH,5,6,4,9,3,7,2,5,2,3
CH,2,1,2,10,5,5,4,10,7,7
CH,7,5,8,9,3,5,5,6,5,7
CH,8,7,7,10,5,6,5,5,5,5
CH,7,8,6,10,8,9,5,8,7,10
CH,3,3,3,10,3,6,4,5,4,5
CH,5,3,4,9,8,8,6,7,7,8
CH,8,6,8,10,8,8,6,6,6,8
CH,7,7,7,10,8,7,6,7,6,9
CH,9,5,9,10,9,9,8,8,9,9
CH,7,4,7,8,7,7,7,8,6,6
CH,9,7,8,10,10,9,8,10,8,10
CH,7,7,7,10,9,8,8,9,6,7
CH,5,7,5,10,9,9,7,7,7,10
CH,7,6,6,6,7,8,8,8,7,8
CH,6,7,8,8,8,8,2,3,1,8
CH,5,3,3,10,2,8,1,3,2,8
CH,7,7,7,9,9,9,8,9,8,9
CH,7,5,7,10,8,10,4,7,5,5
CH,2,2,4,10,3,7,2,4,2,7
CH,4,2,0,10,9,9,10,8,10,8
CH,8,5,5,10,8,10,8,8,5,5
CH,10,7,9,10,10,9,7,10,8,8
CH,7,5,5,9,4,6,4,5,5,7
CH,5,3,5,10,3,5,3,3,5,7
CH,8,8,4,8,8,6,8,8,7,5
CH,6,7,6,5,8,8,7,8,7,6
CH,5,5,5,10,5,5,3,5,5,5
CH,7,7,7,9,8,9,8,8,8,9
CH,5,8,7,9,5,5,3,5,6,7
CH,7,5,5,10,6,7,5,7,4,7
CH,7,6,6,10,8,8,7,8,7,7
CH,5,5,3,7,4,6,5,5,5,6
CH,5,2,5,10,8,8,1,3,0,8
CH,8,8,9,10,3,5,5,5,5,5
CH,5,5,6,10,9,9,7,7,7,7
CH,8,5,5,10,7,8,5,7,5,8
CH,4,3,3,6,4,6,3,4,4,6
CH,6,2,5,10,0,7,7,5,4,5
CH,6,5,8,10,8,9,7,6,6,9
CH,8,5,8,10,6,7,5,5,5,7
CH,8,8,8,10,8,8,3,6,2,7
CH,8,8,8,10,10,10,9,9,8,9
CH,8,8,7,10,7,6,6,6,5,9
CH,5,8,8,8,9,8,3,6,5,7
CH,6,5,8,10,9,9,6,8,4,8
CH,7,7,10,10,10,10,6,9,8,9
CH,3,8,5,8,4,7,4,5,5,8
CH,8,8,8,10,7,9,3,6,4,5
CH,5,8,6,5,8,7,5,5,5,5
CH,8,7,7,10,9,8,5,9,5,9
CH,7,8,8,10,8,8,7,7,6,10
CH,7,7,8,9,9,9,7,9,8,8
CH,3,3,3,7,7,7,5,5,5,6
CH,8,7,8,10,8,9,5,7,5,9
CH,9,3,7,10,4,4,3,4,4,5
CH,8,7,7,10,8,10,6,6,6,7
CH,9,5,8,7,7,5,7,6,7,5
CH,8,8,8,10,8,8,4,4,4,7
CH,6,6,3,10,8,6,6,7,5,6
CH,5,2,3,10,2,1,0,0,0,10
CH,8,7,6,9,6,6,6,6,6,5
CH,7,3,5,9,7,8,5,5,5,9
CH,8,9,8,10,7,8,6,7,6,9
CH,7,5,7,10,8,5,3,7,6,8
CH,5,5,7,10,7,9,3,6,3,9
CH,7,6,8,9,5,6,4,6,4,8
CH,5,5,4,10,4,4,5,5,4,8
CH,8,6,7,8,9,9,8,10,7,9
CH,7,8,8,10,7,9,7,7,6,8
CH,8,3,8,10,7,8,7,7,8,6
CH,7,6,7,8,7,8,6,8,6,7
CH,8,8,8,9,9,9,8,9,8,8
CH,8,8,8,10,9,9,8,8,8,8
CH,9,9,9,10,7,7,7,6,7,7
CH,7,4,6,9,7,7,3,3,2,9
CH,5,5,5,10,7,4,3,5,5,7
CH,7,5,7,10,8,8,7,8,7,7
CH,3,1,2,10,5,5,5,8,5,8
CH,8,5,6,9,8,8,6,7,5,7
CH,8,7,6,10,8,7,5,8,6,9
CH,7,7,7,9,5,8,4,5,1,8
CH,7,5,8,10,6,6,3,4,4,5
CH,9,5,9,8,8,10,3,4,3,9
CH,7,7,8,10,7,8,7,7,7,7
CH,5,5,5,10,7,10,7,8,3,8
CH,7,2,3,10,7,7,3,4,3,4
CH,8,5,7,9,8,6,5,8,4,8
CH,7,4,7,8,9,7,5,8,3,10
CH,5,8,8,9,8,8,8,8,8,6
CH,3,3,3,5,5,5,2,3,2,3
CH,3,3,7,9,7,7,6,8,6,8
CH,7,5,8,10,6,8,6,6,6,8
CH,6,4,8,2,6,4,5,4,4,8
CH,8,7,8,10,6,7,6,6,5,7
CH,6,5,4,10,7,7,6,7,5,6
CH,5,5,5,6,5,7,5,6,2,9
CH,10,10,10,10,7,8,8,9,7,8
CH,8,7,7,9,8,7,5,6,4,9
CH,7,7,7,8,7,8,7,7,7,7
CH,6,7,5,10,10,8,8,9,8,7
CH,8,7,7,10,8,9,7,8,7,9
CH,6,7,4,9,5,6,4,3,5,5
CH,8,9,8,7,8,9,8,8,7,7
CH,9,8,9,9,8,9,6,7,7,8
CH,8,5,8,5,5,7,7,5,5,5
CH,8,7,7,10,10,9,7,9,6,9
CH,5,7,5,10,7,9,7,7,6,9
CH,7,3,5,10,6,7,3,4,3,6
CH,5,7,8,10,6,9,4,7,6,10
CH,9,7,6,10,8,8,6,7,6,7
CH,4,4,7,10,4,8,3,4,4,6
CH,6,6,6,10,5,5,5,7,7,9
CH,10,8,10,10,7,7,6,7,6,7
CH,5,6,3,7,5,6,2,3,2,8
CH,5,4,5,10,9,9,9,10,8,9
CH,8,7,6,10,6,7,6,5,6,8
CH,8,6,8,10,8,9,7,8,7,9
CH,8,7,8,10,5,7,7,6,7,7
CH,9,8,8,10,5,7,5,7,5,8
CH,5,6,7,10,6,7,4,7,4,6
CH,4,5,3,6,4,4,3,4,3,3
CH,8,5,6,7,8,7,3,6,3,8
CH,8,9,8,10,9,10,6,7,5,6
CH,5,5,3,9,5,6,4,6,5,3
CH,9,9,9,10,9,9,7,9,6,9
CH,8,7,5,10,5,8,7,7,5,10
CH,6,7,4,9,8,4,6,7,5,6
CH,4,4,5,5,6,5,4,7,4,9
CH,6,7,3,10,7,9,7,7,6,7
CH,8,6,3,10,6,7,3,6,3,7
CH,8,5,5,9,3,5,2,7,2,7
CH,5,6,4,10,4,6,3,6,2,1
CH,7,7,8,7,7,7,4,5,5,7
CH,8,4,6,5,5,6,5,5,5,5
CH,8,6,8,10,9,9,8,9,8,7
CH,8,7,8,10,9,9,3,8,4,10
CH,9,7,5,10,8,9,4,7,4,3
CH,8,5,4,10,2,5,3,3,2,8
CH,10,5,5,5,2,2,2,5,3,3
CH,7,6,8,8,8,8,7,8,7,9
CH,4,7,1,9,5,5,5,5,5,6
CH,8,8,6,8,7,6,3,7,5,7
CH,3,7,3,10,8,9,2,8,4,9
CH,3,6,4,10,9,7,5,7,3,9
CH,7,7,6,9,5,5,7,9,7,6
CH,6,6,6,8,5,7,7,5,5,4
CH,5,6,7,10,7,5,7,5,6,9
CH,7,2,5,9,4,6,4,4,3,2
CH,10,10,3,10,7,7,8,7,5,9
CH,8,8,8,10,10,10,8,8,9,8
CH,7,7,7,10,6,6,6,6,4,6
CH,8,8,8,10,7,8,5,5,5,6
CH,8,8,9,9,7,7,8,8,9,7
CH,6,8,5,10,10,10,5,7,10,0
CH,8,5,5,10,10,10,10,10,9,10
CH,8,4,3,4,5,7,5,5,5,6
CH,7,5,2,10,8,8,7,5,3,7
CH,8,6,8,10,9,9,6,7,4,5
CH,4,5,5,7,7,8,7,7,7,7
CH,9,7,6,7,8,8,6,8,6,8
CH,3,6,7,5,7,6,7,7,6,5
CH,7,5,5,8,6,6,5,5,5,8
CH,8,8,8,10,8,8,6,7,7,7
CH,6,5,6,8,6,6,5,7,6,5
CH,9,9,8,10,8,9,9,8,9,9
CH,9,8,4,5,5,8,0,4,0,6
CH,3,4,3,9,6,8,8,7,6,8
CH,3,2,0,6,6,9,1,6,1,6
CH,9,9,9,5,9,8,8,8,7,8
CH,7,8,7,10,9,9,6,6,5,7
CH,2,5,8,7,8,8,7,7,6,7
CH,10,10,5,8,5,7,3,3,3,5
CH,9,7,9,10,10,10,9,10,8,9
CH,10,10,0,10,10,10,2,10,2,2
CH,4,4,3,7,4,4,5,6,5,6
CH,5,6,8,9,7,7,7,7,8,6
CH,3,8,7,2,9,10,7,8,8,8
CH,7,7,6,10,10,9,8,9,5,8
CH,4,5,4,10,5,7,5,6,6,7
CH,5,3,5,10,2,2,3,4,1,4
CH,6,8,9,10,10,8,7,10,7,8
CH,8,6,7,10,6,8,5,4,5,7
CH,7,6,7,10,7,9,8,9,6,8
CH,6,7,6,9,6,7,5,5,5,5
CH,3,1,4,6,5,4,5,5,4,4
CH,7,7,6,6,8,8,7,7,5,8
CH,8,3,1,8,7,8,7,7,5,7
CH,8,7,6,9,5,7,4,5,5,8
CH,8,9,9,8,4,7,6,8,7,8
CH,7,3,5,10,8,8,6,8,6,8
CH,6,5,4,9,9,9,1,5,2,7
CH,6,5,5,10,4,7,4,4,4,8
CH,7,5,7,10,10,10,8,10,8,6
CH,6,7,7,10,7,8,4,7,8,5
CH,8,7,3,10,8,5,6,5,5,4
CH,8,9,8,10,2,7,6,3,5,8
CH,7,8,6,10,8,8,6,8,7,6
CH,8,3,5,10,6,7,6,8,6,9
CH,10,10,0,6,10,10,10,10,7,10
CH,6,4,3,8,5,4,5,5,5,9
CH,6,7,5,9,8,8,7,7,7,8
CH,5,8,7,10,9,10,7,10,7,9
CH,8,8,5,10,9,9,4,7,4,10
CH,8,9,8,8,3,2,2,2,2,7
CH,3,5,5,10,8,9,6,5,4,7
CH,8,2,5,10,10,10,2,7,2,10
CH,4,5,6,10,9,8,8,9,6,8
CH,8,8,4,8,8,8,8,7,7,7
CH,7,5,3,10,8,8,7,8,5,8
CH,5,2,0,10,0,7,5,4,0,3
CH,5,5,1,7,4,4,4,4,4,6
CH,5,4,5,8,6,7,7,6,6,5
CH,8,6,5,10,8,10,7,6,5,5
CH,5,5,5,10,7,9,5,5,5,8
CH,6,5,5,10,7,7,6,8,6,8
CH,1,3,1,10,6,7,4,6,4,6
CH,7,8,6,10,5,5,5,5,5,5
CH,6,7,7,8,8,7,3,3,3,9
CH,9,10,8,9,9,10,5,6,6,8
CH,7,5,7,10,6,7,8,6,5,8
CH,7,8,7,10,7,7,5,8,5,7
CH,4,7,5,6,6,9,7,5,7,5
CH,6,6,6,5,0,0,1,2,2,5
CH,8,7,5,10,7,8,7,7,7,9
CH,5,7,5,7,5,5,3,5,4,4
CH,7,8,7,8,7,6,8,7,6,8
CH,9,9,8,10,6,10,4,6,4,7
CH,7,5,7,10,6,7,7,7,6,7
CH,5,7,8,10,10,10,10,10,10,10
CH,8,4,7,10,7,7,6,8,6,7
CH,7,7,4,6,3,3,3,3,2,8
CH,6,6,4,10,8,8,7,7,5,8
CH,7,7,8,8,7,8,7,7,7,8
CH,9,7,7,10,9,8,5,7,4,10
CH,7,8,7,10,9,8,2,3,4,6
CH,7,6,7,10,10,9,7,9,7,10
CH,8,5,5,9,7,9,9,10,6,7
CH,8,8,9,10,9,10,7,9,7,9
CH,5,6,3,8,7,7,6,5,5,5
CH,8,4,8,10,8,7,6,6,4,7
CH,7,7,8,10,7,8,5,7,5,8
CH,7,5,5,10,7,6,6,6,5,9
CH,9,8,9,10,8,10,9,10,8,9
CH,8,6,8,10,8,7,6,7,6,6
CH,8,6,10,10,9,9,6,8,6,9
CH,8,9,7,10,9,8,5,7,3,9
CH,5,5,7,9,7,7,5,5,5,7
CH,4,4,3,10,6,8,4,7,4,8
CH,6,5,3,9,7,9,7,8,6,6
CH,9,10,7,10,7,10,6,10,6,7
CH,5,5,3,10,8,8,5,7,4,7
CH,4,5,6,10,2,6,2,1,2,2
CH,7,5,6,10,6,7,5,5,5,6
CH,7,6,7,10,10,9,7,10,5,10
CH,0,6,5,10,7,8,5,5,4,4
CH,4,4,3,10,6,6,6,7,6,5
CH,5,7,7,8,8,8,5,7,5,6
CH,7,7,3,9,6,7,6,5,7,7
CH,7,7,2,9,9,10,10,9,5,9
CH,4,6,6,9,6,8,7,7,6,8
CH,8,7,8,8,6,7,7,7,8,8
CH,7,8,7,10,9,9,6,8,7,9
CH,10,1,2,5,9,8,3,7,4,10
CH,6,6,7,8,8,8,7,5,7,9
CH,8,6,7,10,3,4,5,6,7,9
CH,3,5,4,8,4,8,5,3,5,6
CH,5,5,8,8,7,7,5,5,5,8
CH,8,6,7,10,7,9,6,8,6,9
CH,4,2,3,7,8,6,6,5,7,7
CH,8,9,6,9,8,8,7,7,7,6
CH,5,6,5,9,8,8,5,7,6,6
CH,6,5,5,8,4,5,3,4,4,6
CH,7,7,7,10,8,8,8,8,8,9
CH,10,10,9,10,6,10,8,8,6,9
CH,9,8,7,10,6,7,8,8,8,6
CH,8,9,9,10,10,9,5,9,5,10
CH,5,4,2,10,5,5,4,5,4,7
CH,6,6,5,10,8,8,7,8,3,7
CH,8,5,9,10,10,10,6,7,7,10
CH,7,7,9,9,7,5,3,5,3,2
CH,5,8,5,10,5,7,5,5,5,10
CH,7,4,6,10,8,3,3,6,6,10
CH,8,9,5,7,8,8,7,8,7,7
CH,4,5,3,8,5,3,6,7,6,6
CH,9,9,8,8,9,9,7,8,8,9
CH,5,8,5,8,0,10,2,5,4,1
CH,6,3,4,10,9,3,6,7,5,7
CH,7,5,7,8,9,8,8,7,7,7
CH,6,6,5,9,8,7,5,7,5,6
CH,5,6,8,10,8,9,7,9,8,9
CH,7,4,4,8,5,7,5,5,3,5
CH,5,5,5,9,6,8,6,5,4,5
CH,7,8,8,10,9,9,8,7,6,9
CH,9,7,7,9,4,4,4,5,3,8
CH,5,8,8,10,8,8,5,8,5,7
CH,8,6,7,10,7,7,6,7,5,7
CH,7,7,8,9,9,8,7,7,7,9
CH,5,5,5,5,10,10,5,5,5,3
CH,7,7,8,10,10,10,8,10,8,8
CH,6,7,6,10,8,8,7,8,7,8
CH,7,4,8,10,7,7,7,8,6,6
CH,6,6,4,9,7,7,4,5,4,6
CH,7,5,5,8,5,5,4,5,4,3
CH,6,7,6,9,8,7,7,7,6,7
CH,7,8,6,9,7,9,6,7,6,5
CH,5,6,7,10,8,8,5,5,4,9
CH,5,5,5,10,5,5,7,7,6,5
CH,8,9,8,10,7,8,5,8,5,7
CH,3,5,2,10,8,8,6,7,6,8
CH,7,5,4,10,7,5,6,8,4,10
CH,5,5,2,7,9,9,3,5,3,5
CH,8,8,9,9,7,6,8,8,9,10
CH,4,4,4,5,7,9,5,7,5,5
CH,7,4,6,10,8,9,6,7,5,8
CH,7,7,6,8,7,8,5,6,5,6
CH,8,9,8,10,8,6,7,6,7,9
CH,8,8,8,10,8,9,8,8,8,9
CH,7,6,4,10,4,8,6,9,7,8
CH,10,7,9,10,9,8,7,7,6,7
CH,7,5,4,10,7,8,2,5,3,8
CH,8,5,8,10,7,8,5,7,8,9
CH,3,6,5,10,8,9,6,8,6,3
CH,8,7,7,8,6,8,5,6,5,9
CH,8,8,8,9,9,10,9,9,9,8
CH,7,5,5,9,7,7,5,6,5,5
CH,5,4,4,5,4,5,3,2,1,6
CH,8,8,8,10,9,10,6,5,6,5
CH,5,5,5,9,5,4,7,8,8,9
CH,9,6,8,8,9,9,7,7,5,8
CH,8,8,5,10,8,8,8,8,8,8
CH,8,8,8,9,8,8,8,8,5,8
CH,8,7,8,8,7,7,6,7,6,7
CH,2,3,4,10,3,3,0,5,5,0
CH,8,6,8,10,8,9,7,8,7,6
CH,8,7,8,10,8,9,9,9,9,9
CH,8,5,4,8,8,8,6,8,6,6
CH,8,6,7,10,8,8,8,7,7,8
CH,8,7,7,10,8,7,6,7,7,8
CH,4,2,4,10,8,8,4,7,4,7
CH,8,3,8,7,7,8,3,8,3,8
CH,8,6,4,10,7,7,5,7,5,6
CH,6,8,7,10,6,4,8,8,7,8
CH,7,4,7,7,5,5,2,4,2,5
CH,3,4,5,10,9,7,6,9,6,8
CH,5,3,5,10,4,5,7,6,7,5
CH,9,10,8,10,8,8,8,8,8,7
CH,5,2,3,8,6,5,2,3,2,5
CH,8,6,7,10,7,8,6,8,8,7
CH,6,4,3,10,8,8,9,9,6,7
CH,8,8,8,10,6,5,5,6,5,5
CH,6,6,2,10,4,9,3,6,3,7
CH,7,6,6,10,7,8,5,7,5,5
CH,7,4,3,8,7,7,4,5,4,8
CH,4,6,7,10,9,7,8,8,8,9
CH,8,10,10,10,5,10,3,6,3,5
CH,7,7,7,9,9,9,5,7,5,8
CH,9,7,8,10,8,7,6,8,8,8
CH,7,5,3,10,8,7,6,7,6,9
CH,9,10,9,10,9,10,10,10,10,10
CH,7,7,7,10,8,8,9,8,8,6
CH,7,8,7,10,8,8,5,7,6,8
CH,5,4,2,10,8,8,6,6,6,8
CH,7,5,10,8,7,7,5,5,5,7
CH,10,10,7,10,10,10,7,10,7,6
CH,5,3,5,9,8,9,4,5,4,5
CH,3,5,3,8,5,5,5,7,6,4
CH,6,6,5,10,9,2,7,8,4,9
CH,8,4,7,8,6,4,3,5,5,8
CH,6,6,3,10,7,8,7,5,6,9
CH,8,6,8,10,7,10,6,9,6,6
CH,6,7,7,9,8,8,6,7,5,8
CH,4,6,6,10,5,7,5,6,6,6
CH,6,6,5,10,0,0,0,0,0,0
CH,7,5,2,8,5,8,7,8,5,8
CH,4,8,8,10,6,8,8,5,6,5
CH,6,3,6,10,8,7,6,7,5,8
CH,7,7,7,10,5,8,2,1,3,9
CH,8,6,7,9,8,9,6,8,5,8
CH,9,8,8,10,9,8,6,7,6,8
CH,9,6,7,10,9,8,7,8,7,8
CH,6,6,6,9,7,7,7,6,6,7
CH,8,6,8,10,10,9,9,7,7,10
CH,5,4,4,10,7,7,7,6,6,8
CH,6,7,5,9,7,6,2,6,0,3
CH,4,4,3,8,9,9,8,8,8,9
CH,8,5,5,10,6,4,5,6,4,7
CH,7,7,7,10,6,6,7,8,7,7
CH,7,6,7,9,8,7,8,7,7,8
CH,5,3,3,8,4,4,3,6,3,6
CH,3,3,4,3,0,0,2,5,2,4
CH,7,7,8,8,7,7,4,5,4,5
CH,8,5,7,10,8,6,6,6,6,8
CH,5,3,7,5,3,5,4,5,7,7
CH,9,9,5,0,9,10,5,6,2,8
CH,3,5,2,10,8,7,5,8,7,8
CH,3,5,6,10,9,9,7,8,8,9
CH,5,6,3,8,5,6,5,4,3,4
CH,7,5,6,9,9,8,5,8,6,8
CH,4,5,7,10,8,8,5,5,5,8
CH,8,7,8,10,9,9,8,8,5,8
CH,7,2,7,10,7,9,7,5,5,8
CH,7,4,7,10,9,9,8,9,8,9
CH,8,3,8,8,8,6,4,7,4,8
CH,3,5,6,8,5,7,2,5,2,10
CH,9,6,7,10,7,7,7,8,9,9
CH,5,3,3,9,1,3,1,3,3,7
CH,7,7,4,10,7,8,4,8,3,9
CH,9,8,9,10,7,9,8,8,8,7
CH,6,4,5,7,5,5,4,5,4,4
CH,8,9,8,8,6,8,8,6,4,5
CH,5,7,3,10,9,5,4,7,5,9
CH,5,7,8,8,8,8,4,1,3,5
CH,5,5,4,8,6,5,5,6,5,5
CH,7,6,8,9,8,9,10,8,8,10
CH,8,8,8,9,8,9,7,7,7,7
CH,6,6,6,9,5,5,4,3,4,5
CH,8,6,8,10,10,10,9,9,6,9
CH,8,4,7,9,8,8,2,8,4,9
CH,5,7,7,10,9,9,8,8,8,9
CH,6,8,6,10,6,9,7,6,5,7
CH,6,6,4,10,5,4,2,7,3,8
CH,8,6,8,10,8,8,6,7,7,9
CH,7,7,5,10,8,8,2,7,2,8
CH,8,3,8,10,7,8,7,5,6,8
CH,6,6,6,9,7,7,7,7,5,7
CH,7,9,9,10,9,9,9,10,8,8
CH,7,6,5,10,7,0,3,2,3,7
CH,5,6,4,8,6,7,5,5,5,5
CH,5,5,6,9,7,8,7,7,6,8
CH,9,7,9,10,4,8,7,6,5,8
CH,7,5,5,8,8,8,7,8,6,9
CH,2,0,2,10,8,8,6,8,5,9
CH,9,9,10,9,8,6,4,5,4,8
CH,7,7,7,10,7,8,5,7,3,7
CH,8,4,8,9,5,7,3,5,3,8
CH,7,7,8,9,8,9,7,8,7,8
CH,10,7,8,10,10,10,8,10,8,7
CH,5,7,7,10,6,7,3,4,3,5
CH,8,8,8,10,8,9,8,7,8,9
CH,5,10,6,10,10,10,8,10,7,5
CH,6,7,7,9,6,7,5,7,6,5
CH,5,5,4,9,5,5,6,5,5,6
CH,3,0,0,10,7,7,3,5,6,8
CH,5,1,2,8,8,10,8,8,1,10
CH,8,8,5,10,6,6,5,8,4,9
CH,5,7,6,10,6,8,6,6,6,8
CH,7,4,4,10,7,9,3,6,5,10
CH,5,1,1,7,3,4,4,5,4,8
CH,8,5,8,10,8,8,6,6,6,10
CH,8,7,8,10,8,8,7,7,6,6
CH,2,2,1,9,1,1,1,2,1,1
CH,5,7,7,10,7,7,7,8,8,9
CH,5,3,5,9,8,7,6,7,6,7
CH,7,8,5,8,7,7,7,5,6,6
CH,5,6,5,9,9,10,4,7,3,5
CH,8,5,5,9,8,9,7,8,9,3
CH,5,5,7,7,6,6,5,6,5,6
CH,8,8,8,10,8,9,7,7,7,7
CH,5,3,3,9,9,7,5,8,3,9
CH,9,7,8,9,5,7,5,6,4,4
CH,9,4,9,10,7,9,7,8,7,8
CH,8,9,10,10,10,10,10,9,8,4
CH,6,5,4,10,8,8,6,7,5,7
CH,5,4,4,8,4,5,4,4,4,5
CH,8,8,6,8,7,8,8,8,7,8
CH,5,3,5,10,9,8,8,9,7,9
CH,7,7,7,9,8,10,6,6,5,6
CH,8,8,9,10,8,8,6,7,7,9
CH,6,6,4,10,7,6,5,7,5,8
CH,6,7,7,10,7,7,5,7,4,6
CH,9,8,9,10,9,10,9,10,8,9
CH,8,7,8,10,7,9,6,6,7,6
CH,8,1,7,5,4,8,6,6,6,8
CH,5,5,5,10,6,8,6,6,6,8
CH,8,5,6,9,9,10,5,6,5,10
CH,6,4,5,10,7,6,7,7,5,8
CH,3,1,2,9,5,5,5,7,5,3
CH,7,8,7,10,6,10,7,7,4,3
CH,8,5,8,10,8,8,5,6,5,8
CH,5,4,10,5,6,8,3,2,3,7
CH,6,5,4,10,8,10,7,7,5,9
CH,7,6,5,10,7,7,5,7,5,7
CH,6,3,7,10,8,8,6,8,5,9
CH,7,4,5,10,7,8,6,8,6,8
CH,7,7,7,10,7,9,9,7,8,8
CH,7,7,8,10,8,8,8,7,7,8
CH,8,7,9,10,8,8,5,6,6,8
CH,5,7,5,9,9,10,10,9,6,8
CH,7,3,6,10,9,9,7,7,8,9
CH,6,2,7,10,8,9,8,8,5,8
CH,8,7,4,8,9,9,5,6,4,4
CH,10,10,10,8,10,10,9,10,9,9
CH,6,5,5,10,7,9,7,7,4,5
CH,0,4,4,8,10,3,2,4,2,5
CH,3,1,3,10,5,4,5,5,5,4
CH,3,5,5,10,9,8,8,7,7,9
CH,6,7,4,10,8,9,6,9,6,5
CH,6,7,6,8,7,8,6,7,7,8
CH,10,9,8,4,7,5,5,6,6,8
CH,5,10,5,10,9,10,10,8,10,9
CH,8,8,8,10,7,8,3,4,3,8
CH,7,7,5,10,8,6,6,7,6,7
CH,8,8,5,8,9,9,7,8,6,7
CH,6,0,3,6,6,6,6,6,5,5
CH,7,7,5,10,6,7,5,5,4,5
CH,8,5,8,10,6,8,6,8,6,8
CH,6,7,7,10,7,7,3,6,3,8
CH,7,7,8,10,8,6,7,7,7,8
CH,8,5,6,10,8,8,9,8,8,8
CH,7,5,5,10,4,6,0,3,0,4
CH,5,6,5,9,7,7,5,6,5,5
CH,7,7,4,10,8,7,4,7,4,9
CH,10,5,10,10,10,10,9,10,10,10
CH,5,3,3,9,6,3,5,8,5,8
CH,7,6,8,10,6,10,6,7,6,8
CH,5,8,8,9,5,9,5,7,3,8
CH,5,8,5,0,0,0,4,0,0,0
CH,5,4,5,10,3,6,4,8,8,8
CH,8,8,8,10,8,8,6,6,6,9
CH,8,1,5,10,2,4,2,4,2,5
CH,7,6,9,9,8,8,7,8,7,7
CH,8,6,8,10,7,7,7,8,8,9
CH,8,10,6,10,5,10,5,8,3,9
CH,7,8,8,10,8,8,8,8,6,8
CH,5,1,3,9,5,6,3,6,3,4
CH,5,5,5,5,8,7,5,9,8,8
CH,8,8,8,10,4,5,8,7,8,4
CH,5,3,2,10,8,9,3,7,4,8
CH,9,7,8,10,5,9,7,6,5,6
CH,4,5,2,10,8,8,7,7,5,8
CH,5,6,4,9,10,8,7,8,6,5
CH,8,9,7,10,6,8,5,5,5,7
CH,6,8,7,10,7,8,6,7,6,6
CH,6,6,7,9,9,9,7,8,6,8
CH,8,6,8,10,8,9,8,8,7,9
CH,5,3,3,9,6,6,6,5,5,7
CH,8,7,8,10,7,8,3,6,4,7
CH,5,6,5,10,7,6,5,7,5,6
CH,7,7,5,10,8,8,7,5,6,7
CH,3,7,7,9,7,9,5,6,5,7
CH,7,7,8,10,8,9,9,8,5,9
CH,7,8,7,10,5,6,5,6,6,4
CH,8,6,8,9,8,7,7,7,7,8
CH,7,7,7,10,9,7,5,10,5,10
CH,6,7,3,10,7,7,4,4,4,7
CH,6,5,7,10,7,7,5,8,6,7
CH,5,5,0,7,5,5,5,0,5,0
CH,8,8,8,10,6,9,7,8,6,9
CH,9,8,8,10,9,7,7,7,7,10
CH,6,7,8,10,7,7,6,6,5,9
CH,9,9,9,10,9,7,7,6,4,8
CH,2,5,1,10,7,8,6,6,5,7
CH,7,6,7,9,7,8,5,8,6,8
CH,8,8,9,10,10,10,7,9,7,9
CH,4,7,5,8,8,8,7,9,8,8
CH,5,5,5,10,5,5,5,4,6,6
CH,7,8,10,9,8,8,8,7,6,7
CH,5,7,5,8,6,7,5,6,5,5
